"rab.all"	"rab.win.H"	"rab.win.RT"	"rab.sample.B169"	"rab.sample.B170"	"rab.sample.B171"	"rab.sample.B172"	"rab.sample.B173"	"rab.sample.B174"	"rab.sample.B175"	"rab.sample.B176"	"rab.sample.B184"	"rab.sample.B185"	"rab.sample.B186"	"rab.sample.B187"	"rab.sample.B188"	"rab.sample.B189"	"rab.sample.B190"	"rab.sample.B191"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"label"
"Akkermansiaceae"	4.87743190322692	5.20652425458275	4.05013296376075	5.76479690095319	5.5877496110369	4.98223942652651	4.46587266846739	5.60606880029609	5.36122497032748	4.66146064496644	4.48439270945711	4.37112700988975	3.62838820657649	6.11569178382927	6.57134102265035	1.46599569011916	3.0833239107001	5.92993441248337	1.55726892766971	1.03859474728314	1.93963510499379	0.424496865342813	0.376953166637119	0.209899313807475	0.282006427041635	0.454630439005439	0.539159323920939	"Not significant"
"Anaeroplasmataceae"	-8.36866265916516	-9.35235276665549	-7.11396893075313	-9.3720120867136	-9.64043651756736	-9.40757366953794	-9.55265511954546	-9.7137398888213	-9.5560630130606	-9.07127243368033	-8.31578161408876	-9.08989885243712	-8.09656761261778	-0.874528462738284	-1.24673247290778	-7.21118942234526	-7.93782089859969	-8.04773416734505	-8.54997566963011	-2.65078560340826	5.28284164024901	-0.477011287856225	0.289062581573385	0.21568667645534	0.275032363074763	0.262394376456876	0.322326364647023	"Not significant"
"Atopobiaceae"	-7.27054877574801	-8.24979141495531	-6.18525820086881	-9.11049704677349	-9.15829326796163	-4.31658477996179	-9.77532236249846	-9.82823040634069	-4.23265678772633	-9.28975849555817	-8.73330361032142	-8.63273147101429	-7.96708177982774	-1.79339353952878	-3.40401970947228	-8.19450698003807	-7.28372529547957	-8.61912585460495	-3.40345605655104	-2.03096077958255	5.45054751030517	-0.354549180684795	0.330078186069789	0.340377524133083	0.405637170739828	0.32808614996115	0.401806372644731	"Not significant"
"Bacteria.other"	-8.27394890074249	-8.76085768532991	-7.74260912111209	-10.0879467681877	-8.55309035996639	-9.07713531166648	-9.42046861532415	-6.37296788833725	-9.50155828895566	-8.95297715316866	-8.97050307460641	-9.07054086180762	-7.88705783440498	-5.11256734572651	-8.22034056820367	-7.41916249622674	-7.18354495737354	-8.12598691653067	-9.02825798634254	-1.14359445513902	4.38102149822196	-0.210035175601956	0.382812539418149	0.432673560697135	0.491177855454348	0.437701534576535	0.502102500423341	"Not significant"
"Bacteroidaceae"	4.42247773704659	3.67021011281783	5.09172812553146	3.07592163444125	3.43669656980023	3.81870738734448	3.33018495997758	2.79826168814921	4.17467238565555	4.2494224359607	4.54609352202962	5.18037485090553	5.10124762854247	4.4709294845339	4.52251740947568	5.43314361962383	5.40757584525477	4.5162168188888	5.27561291286031	-1.32955288477448	0.868147678351796	-1.50170826327056	0.0585943859309574	0.0010822639039925	0.00607444341758755	0.0020541958041958	0.00968758093758094	"Significant"
"Bifidobacteriaceae"	-6.63754242159166	-4.0541563811214	-8.31641274766155	-4.41647324010872	-3.94794941950085	0.312107682466059	-0.275009596741658	1.07654428068784	-4.77074095885843	-8.98487612013079	-9.3011532401431	-8.92179943276356	-8.56647828040565	-8.80831173083867	-8.42251760397642	-7.98655306026286	-7.38545347295404	-7.83169801603558	-8.20261340903614	5.44868616513381	5.11552937173549	0.949751537193237	0.167968938810957	0.0481736982500181	0.0799273828771007	0.0333126942501942	0.0638366650836025	"Significant"
"Burkholderiaceae"	4.12530482190817	4.01418595920928	4.40522454124686	3.92698193601955	4.04823370683781	4.22679999383428	3.80074193430792	3.77854070965976	3.78069451092523	4.43979010823238	4.31124162075422	4.1434597421794	4.09681848669658	4.97366758093278	5.54552323845042	3.2352857506285	4.63024817426501	4.6223663086292	3.15046238635954	-0.323282194498252	0.84176779704599	-0.300088756942761	0.376953166637119	0.444797007499665	0.514067581597311	0.434995386557886	0.510686551361409	"Not significant"
"Caldicoprobacteraceae"	-1.35024806504863	-1.60007679541042	-0.855559316843513	-1.71878742685444	-1.56939672743122	0.0491338760266871	-2.22155890477495	-2.09317683681465	-2.33750857506331	-0.646197284467783	1.21308610069695	-0.316755259990987	-0.415112391098288	0.757833509647734	-1.61607581169095	-4.69565871789748	-1.38370807112686	0.0855569981387108	-4.80592561910661	-0.0748048340835883	2.41656731821912	-0.0298590140446608	0.485380121592454	0.682455824580118	0.735898092453609	0.852449980574981	0.883740290602777	"Not significant"
"Christensenellaceae"	0.501056555100307	0.0213120281331207	0.927843094823717	-0.216809795448395	-0.109773465627248	0.372939456001536	0.0589795131923267	-1.39090535100872	-1.32351805018018	0.678918506152273	0.496866299353881	1.15639689446564	0.462729240161307	0.743043625502472	0.404611116179716	1.19059257684026	1.74276342118963	0.669268042648956	1.14151610228407	-1.00066828386605	0.993060582869599	-1.00318273385157	0.111111422812827	0.0109675148932284	0.0286993717948233	0.0113551379176379	0.028906054138771	"Significant"
"Clostridiaceae_1"	-1.15870347842072	2.31561323841198	-6.43647341951688	2.9735437522448	3.78784237619081	2.7132067231389	2.38396854974538	2.25931480739216	-1.88617147308964	0.927618308329055	0.193506187408803	-9.74866808232605	-8.25862129915213	-8.16206600667048	-9.01749419165337	-4.65710231894765	-7.35860367152777	-0.752297356196427	-1.58185640089649	8.10545231707581	4.55637346650448	1.60626734510005	0.0253426515974776	0.000948023402462348	0.00497334063815505	0.0005621114996115	0.00415725688452961	"Significant"
