	A2	ASF356	Acetatifactor	Acinetobacter	Adlercreutzia	Akkermansia	Alistipes	Alloprevotella	Anaerofustis	Anaeroplasma	Anaerosporobacter	Anaerotruncus	Anaerovorax	Angelakisella	Bacteria other	Bacteroidales other	Bacteroides	Bacteroidia other	Bifidobacterium	Bilophila	Blautia	Butyricicoccus	Butyrivibrio	CAG-873	Caldicoprobacter	Candidatus_Arthromitus	Candidatus_Saccharimonas	Candidatus_Soleaferrea	Candidatus_Stoquefichus	Caproiciproducens	Chloroplast other	Christensenellaceae other	Christensenellaceae_R-7_group	Clostridiales other	Clostridiales_vadinBB60_group other	Clostridium_sensu_stricto_1	Coriobacteriales other	Corynebacterium	DNF00809	Defluviitaleaceae_UCG-011	Desulfovibrionaceae other	Dialister	Dubosiella	Eggerthellaceae other	Eisenbergiella	Enhydrobacter	Enterococcus	Enterorhabdus	Erysipelatoclostridium	Erysipelotrichaceae other	Escherichia/Shigella	Faecalibaculum	Family_XIII other	Family_XIII_AD3011_group	Family_XIII_UCG-001	Firmicutes other	Flavonifractor	Fusobacterium	GCA-900066225	GCA-900066575	Gardnerella	Gastranaerophilales other	Haemophilus	Harryflintia	Herbinix	Hydrogenoanaerobacterium	Intestinimonas	Izimaplasmatales other	Kallotenuales other	Lachnoclostridium	Lachnospiraceae other	Lachnospiraceae_FCS020_group	Lachnospiraceae_NC2004_group	Lachnospiraceae_NK3A20_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_NK4B4_group	Lachnospiraceae_UCG-001	Lachnospiraceae_UCG-002	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-006	Lachnospiraceae_UCG-010	Lactobacillales other	Lactobacillus	Lactonifactor	Lawsonella	Marvinbryantia	Megasphaera	Mitochondria other	Mollicutes_RF39 other	Mucispirillum	Muribaculaceae other	Muribaculum	Novosphingobium	Odoribacter	Olsenella	Oscillibacter	Oscillospira	Parabacteroides	Parasutterella	Pasteurellaceae other	Peptococcaceae other	Phocea	Porphyromonadaceae other	Prevotella_9	Prevotellaceae other	Prevotellaceae_UCG-001	Proteobacteria other	Pseudoflavonifractor	Pseudomonas	Rhodospirillales other	Rikenellaceae other	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminiclostridium	Ruminiclostridium_5	Ruminiclostridium_6	Ruminiclostridium_9	Ruminococcaceae other	Ruminococcaceae_NK4A214_group	Ruminococcaceae_UCG-002	Ruminococcaceae_UCG-003	Ruminococcaceae_UCG-005	Ruminococcaceae_UCG-009	Ruminococcaceae_UCG-010	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Senegalimassilia	Shuttleworthia	Streptococcus	Turicibacter	Tyzzerella	Tyzzerella_3	UBA1819	UC5-1-2E3	XBB1006
B144	277	17	123	0	0	138	10847	9	0	401	26	129	0	0	55	0	3461	0	0	60	0	75	0	3	0	0	7	0	19	0	0	37	0	22	603	0	0	0	0	50	0	0	0	5	0	0	0	0	103	57	0	232	28	28	19	0	13	0	40	119	0	0	0	11	0	141	157	0	0	1019	2155	80	0	0	3262	0	180	0	9	101	5	0	496	0	0	92	0	0	438	139	43253	946	0	1212	0	362	0	141	1332	0	60	0	0	0	0	2076	0	0	0	250	0	1671	0	662	480	200	325	426	202	43	0	45	96	75	159	14	4550	186	0	0	0	0	23	24	0	0	0
B145	30	36	48	0	0	5186	6778	0	0	0	202	23	9	0	101	0	1404	0	0	439	0	133	0	0	0	0	0	0	0	0	0	73	0	73	970	0	0	0	5	81	0	0	0	0	18	0	0	0	0	56	0	1296	20	9	0	0	11	0	88	140	0	505	0	105	0	104	109	0	0	375	3033	66	0	0	5513	0	65	0	28	54	0	0	311	0	0	0	0	0	575	562	23162	668	0	493	48	611	0	327	1298	0	106	0	0	0	0	1811	0	0	0	206	0	300	0	220	332	284	1332	1025	682	23	11	0	33	220	82	10	2400	554	0	0	0	0	16	27	0	0	0
B146	111	12	197	0	5	6515	6997	0	0	34	103	130	9	0	0	0	2261	0	0	562	0	32	0	0	0	0	5	0	0	0	0	69	0	103	2716	0	0	0	7	153	0	0	0	3	218	0	0	0	20	126	0	730	28	3	34	0	48	0	96	122	0	338	0	95	0	176	274	0	0	1205	3497	247	0	0	7175	0	643	0	53	136	10	0	641	0	0	0	0	0	1250	865	28925	838	0	396	46	1090	0	333	1457	0	183	0	0	0	0	1194	0	0	0	372	2	50	0	2445	695	703	1778	773	520	83	0	0	71	373	196	40	3396	292	0	18	0	0	79	35	0	0	0
B147	6	15	100	0	0	2627	4257	0	0	389	87	82	25	33	0	0	1281	0	8	246	0	82	0	0	0	0	0	3	0	0	0	13	0	34	1630	0	3	0	0	82	0	0	0	0	11	0	0	0	11	33	0	5806	26	12	7	4	0	0	52	165	0	251	0	20	0	65	179	0	0	683	1993	81	0	0	4127	0	0	12	49	35	13	0	787	0	0	0	0	0	136	1318	24493	1747	0	418	46	416	0	621	1992	0	48	0	0	0	0	889	0	0	0	426	0	16	0	340	536	550	58	563	369	55	0	0	51	177	52	43	2188	1541	0	5	0	52	37	31	0	0	0
B148	121	30	173	3	0	2230	7383	0	0	11	0	70	9	0	0	0	1675	0	17	875	0	110	0	0	0	0	0	0	0	0	0	25	0	49	1755	0	0	0	0	89	0	0	0	0	0	0	0	0	0	43	0	2284	31	17	0	0	3	0	40	118	0	327	0	48	0	92	144	0	0	595	2937	53	0	0	7545	0	584	4	98	75	0	0	434	0	0	28	0	0	208	1830	23575	1118	0	350	28	699	0	633	1295	0	88	215	0	0	0	1114	0	0	0	211	0	31	0	494	617	410	131	890	584	27	4	0	29	170	70	16	1536	1684	0	0	0	448	183	73	0	0	0
B149	68	462	51	0	0	113	3853	10	0	201	0	105	14	61	0	0	2370	0	0	514	0	94	0	0	0	0	0	0	0	0	0	12	0	66	1117	0	0	0	0	0	0	0	0	11	660	0	0	0	0	0	0	442	6	0	2	0	0	0	45	0	0	193	0	57	0	103	241	0	0	805	1932	54	0	0	12968	3	259	7	20	0	9	0	240	0	0	133	1	0	5	1816	24530	930	0	59	0	1159	0	149	811	0	58	12	0	0	0	462	0	0	0	186	0	52	0	466	434	220	218	705	508	24	20	0	1	207	99	0	32	33	0	0	0	0	22	0	0	0	0
B150	83	62	184	0	0	24	4211	0	0	286	0	131	16	62	0	0	1797	0	0	635	0	154	0	0	0	0	0	0	0	0	0	19	0	100	1950	0	0	0	7	0	0	0	0	0	283	0	0	6	0	19	0	1760	10	0	0	0	47	0	79	77	0	174	0	47	0	140	222	0	0	785	2397	490	0	0	16392	8	327	0	27	37	7	0	488	0	0	23	0	0	20	652	22197	1246	0	669	13	1157	0	137	425	0	88	36	0	0	0	33	0	0	0	329	0	511	0	524	686	364	402	762	465	17	33	0	85	219	74	24	215	62	0	0	0	0	47	36	0	0	0
B151	50	71	337	0	0	3657	4398	0	0	2232	0	270	19	0	0	0	1628	0	0	365	0	32	0	0	0	0	0	0	0	0	0	14	0	40	1394	0	0	0	0	41	0	0	0	9	0	0	0	0	0	0	0	97	14	7	13	2	28	0	35	134	0	517	0	51	0	118	672	0	0	1055	3611	100	0	0	3284	0	2197	28	34	41	5	0	681	0	0	3	0	0	27	1359	20434	1384	0	354	9	532	0	464	757	0	104	0	0	0	0	1064	0	0	0	192	0	96	0	170	550	801	837	931	454	30	0	0	17	185	30	2	297	217	0	0	0	713	183	31	0	0	0
B152	188	12	77	0	0	2488	5648	0	0	508	62	17	0	0	18	0	1066	0	0	526	0	148	0	0	0	0	0	0	5	0	0	33	0	71	847	0	0	0	0	136	0	0	0	13	110	0	0	0	28	63	0	264	12	13	14	0	26	0	57	137	0	356	0	44	0	34	369	0	0	886	3382	123	0	0	5220	0	0	0	0	62	0	0	633	0	0	0	0	0	175	213	19776	1088	0	658	68	374	0	247	1318	0	112	0	0	0	0	1059	0	3	0	276	0	193	0	939	444	372	1166	551	346	0	0	0	12	136	63	2	3045	440	0	0	0	1395	117	38	0	0	0
B153	31	205	200	0	0	2298	5277	0	0	0	29	572	66	103	0	0	4728	5	24	471	0	92	0	0	0	0	0	4	0	0	0	18	0	123	2280	0	0	0	0	91	0	0	0	0	3	0	0	0	28	92	0	3158	22	10	0	0	19	0	62	342	0	236	0	42	0	87	309	0	0	1126	4432	166	0	0	4057	0	301	31	33	0	8	0	651	0	0	0	0	0	182	1637	22226	964	0	215	15	2147	0	609	2202	0	211	0	0	0	0	1100	0	0	0	218	0	827	0	222	484	451	225	910	713	46	0	0	48	1208	131	15	1553	969	0	12	0	0	110	0	0	0	0
