	A2	ASF356	Acetatifactor	Agathobacter	Akkermansia	Alistipes	Alloprevotella	Anaerosporobacter	Anaerostipes	Anaerotruncus	Anaerovorax	Angelakisella	Bacteria	Bacteroidales	Bacteroides	Bacteroidia	Bifidobacterium	Bilophila	Butyricicoccus	Butyrivibrio	CAG-873	Caldicoprobacter	Candidatus_Arthromitus	Candidatus_Stoquefichus	Christensenellaceae	Christensenellaceae_R-7_group	Clostridiales	Clostridiales_vadinBB60_group	Clostridium_sensu_stricto_1	DNF00809	Desulfovibrionaceae	Dubosiella	Eggerthellaceae	Eisenbergiella	Enterorhabdus	Erysipelatoclostridium	Erysipelotrichaceae	Faecalibacterium	Faecalibaculum	Family_XIII	Family_XIII_AD3011_group	Family_XIII_UCG-001	Flavonifractor	GCA-900066225	GCA-900066575	Gastranaerophilales	Haemophilus	Harryflintia	Herbinix	Hydrogenoanaerobacterium	Intestinimonas	Lachnoclostridium	Lachnospiraceae	Lachnospiraceae_FCS020_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG-001	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-006	Lachnospiraceae_UCG-010	Lactobacillus	Marvinbryantia	Mollicutes_RF39	Muribaculaceae	Muribaculum	Odoribacter	Olsenella	Oscillibacter	Parabacteroides	Parasutterella	Peptococcaceae	Phocea	Prevotellaceae_UCG-001	Pseudoflavonifractor	Rhodospirillales	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminiclostridium	Ruminiclostridium_5	Ruminiclostridium_6	Ruminiclostridium_9	Ruminococcaceae	Ruminococcaceae_NK4A214_group	Ruminococcaceae_UCG-002	Ruminococcaceae_UCG-003	Ruminococcaceae_UCG-005	Ruminococcaceae_UCG-009	Ruminococcaceae_UCG-010	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Shuttleworthia	Turicibacter	Tyzzerella	Tyzzerella_3	UBA1819	UC5-1-2E3
C18	13	58	1114	0	7541	4242	4377	0	0	325	0	124	6	4	2288	3	331	100	357	13	0	0	0	13	19	62	38	153	0	12	9688	215	18	0	7	8	29	0	20	30	20	15	15	59	870	8	0	99	0	86	378	1459	3672	228	9629	1235	34	127	0	1789	9	156	56147	2788	2369	4	781	41	1987	123	19	415	0	0	59	0	555	773	554	194	1502	1026	141	0	289	50	97	55	55	773	9	0	42	35	14	706	0
C30	7	17	177	0	8620	12134	2666	31	0	162	0	66	0	1	2636	0	275	24	17	0	0	0	0	3	28	150	310	265	174	1	4497	283	0	0	14	35	0	0	0	16	8	7	0	0	262	14	0	30	0	65	61	979	1393	36	2290	8	23	52	0	493	10	880	58873	3390	2708	0	84	74	2921	105	0	478	0	36	73	72	513	32	59	205	568	232	22	0	49	0	0	50	132	2400	0	0	161	0	0	231	4
C42	0	10	357	0	23903	7099	1259	0	0	16	0	0	13	2	1593	0	106	14	0	8	7	0	0	6	49	82	7	104	76	0	3113	207	0	1	0	195	0	0	0	21	0	10	0	7	498	329	0	74	0	0	116	536	2781	52	1345	32	16	64	0	255	0	362	43895	2231	1025	0	212	1495	2682	172	0	949	0	45	27	28	684	42	63	302	651	245	0	0	0	10	0	16	13	5931	34	0	60	6	0	267	0
C54	0	0	20	0	32940	7129	2361	0	4	58	0	0	6	0	2635	2	316	9	0	0	2	0	0	0	48	57	5	64	126	0	548	1094	0	0	0	403	41	0	13	72	29	0	0	0	99	1271	0	0	0	0	23	208	1872	5	1253	31	4	0	0	277	0	2064	40750	2803	1458	0	81	985	4139	17	0	2819	0	538	69	126	140	92	20	28	407	272	6	0	15	34	0	67	8	8114	77	0	397	0	0	32	0
C66	6	38	28	0	8484	10322	6083	0	135	13	0	4	0	7	2064	0	164	12	15	0	0	0	0	1	17	116	17	56	798	6	2023	1313	8	0	13	72	114	0	0	51	33	0	0	16	223	113	10	36	0	0	76	241	560	0	1444	218	0	10	0	558	6	623	83770	3380	1792	0	149	492	3624	27	0	1352	0	87	130	108	268	9	24	211	526	340	0	0	0	25	15	15	9	2792	78	0	486	0	0	18	0
C78	0	17	0	0	11243	5994	5551	0	2	48	0	18	0	6	1516	0	127	0	20	0	0	0	0	0	31	40	23	144	226	0	759	475	0	0	0	544	13	0	0	24	39	2	0	0	93	94	0	0	0	0	55	178	711	0	458	252	0	8	0	255	0	654	79378	3322	930	0	55	1265	2737	58	0	3452	0	170	0	54	20	40	19	2	323	122	0	0	0	0	0	22	8	7896	0	0	193	0	0	11	0
C90	13	20	117	0	958	6950	3355	0	52	92	0	26	10	15	3400	0	133	10	86	36	0	0	30	0	26	58	1975	346	35	0	643	106	0	0	12	132	61	0	772	55	71	7	0	4	44	55	0	13	0	17	128	285	1284	61	2887	255	0	32	0	525	0	2000	62502	3603	3719	7	129	139	4136	58	0	3236	0	86	265	145	387	155	39	67	657	549	23	0	18	9	0	36	32	5856	137	0	160	0	0	61	0
C7	0	30	34	0	6093	6351	10038	0	0	224	0	4	4	18	3880	2	113	0	50	0	0	0	8	0	42	46	24	434	0	17	1693	115	0	0	14	163	0	0	863	42	29	0	0	6	306	891	10	54	0	71	248	214	745	0	4953	147	8	22	3	556	0	316	69453	4333	3003	11	374	586	5059	58	0	3290	7	630	254	60	249	205	89	178	1177	964	44	0	29	30	29	140	145	2287	51	0	42	0	0	145	0
C19	6	5	42	0	10419	9374	671	0	0	429	0	3	2	9	2239	0	193	17	0	34	0	0	0	8	44	148	67	109	16	0	6502	1300	6	0	2	260	0	0	0	16	23	0	0	10	448	836	0	125	0	23	208	247	2906	0	792	253	0	24	0	145	0	810	51876	3191	2067	0	157	584	2627	201	0	2446	0	103	19	64	96	58	43	43	879	235	0	2	27	16	41	31	68	7017	53	0	6	14	0	99	9
C31	18	0	24	0	16840	4797	1202	0	88	8	0	0	3	0	1312	0	254	0	0	0	0	0	0	0	22	73	0	28	8	0	1834	1357	0	0	9	309	0	0	0	51	21	0	0	0	140	680	0	16	0	0	51	148	629	0	265	105	0	11	0	192	8	457	60808	3034	862	0	17	1395	2832	73	0	2618	0	212	158	37	13	0	0	0	417	680	6	0	0	18	13	5	9	5276	0	0	0	8	0	0	20
C43	14	0	61	10	15603	6476	1213	0	440	7	0	6	0	0	1053	0	110	8	6	0	0	0	0	2	33	68	305	108	18	0	2441	1298	4	0	0	405	0	0	3	24	11	6	9	13	194	500	0	32	0	0	71	356	2687	0	1063	160	0	76	0	184	4	928	69787	2259	957	0	245	833	1845	146	0	3113	0	213	37	26	532	82	92	3	899	201	8	0	0	54	32	13	1	6340	61	0	0	0	0	11	33
C55	4	41	145	0	13662	5685	1458	0	126	243	0	14	11	2	1347	0	198	29	29	0	0	11	0	0	17	31	28	287	13	0	4146	1199	5	0	0	78	78	0	0	33	12	3	0	14	319	919	0	38	0	64	162	281	1985	157	1907	123	19	0	0	204	17	513	65136	3233	1980	0	213	90	3032	154	0	1597	0	82	194	42	104	96	70	22	617	239	54	0	54	5	54	32	26	1921	75	0	0	7	0	35	8
C67	5	24	231	0	2065	11441	603	0	382	87	11	70	11	8	1010	0	61	39	33	26	0	0	0	5	21	184	20	155	150	12	6833	1341	22	0	16	17	59	0	26	27	11	14	0	10	482	238	0	38	0	25	284	553	1659	157	3654	155	0	52	0	565	8	768	50268	1810	2142	20	225	94	1989	187	0	622	0	18	35	98	1576	45	339	188	776	356	14	0	0	22	32	16	2	2029	9	0	22	0	0	632	6
C79	19	89	187	0	1926	9615	827	0	0	448	0	156	11	7	2624	0	0	103	247	8	7	0	8	4	38	81	44	204	535	11	12367	774	12	0	5	28	303	4	0	47	30	3	7	41	492	987	11	84	0	92	693	611	3837	188	4144	514	12	63	7	121	7	1226	60376	2459	3143	0	1091	254	2355	391	0	2488	3	138	32	111	2451	503	274	243	1455	722	19	0	43	216	105	23	38	3272	57	0	47	16	17	488	34
C91	17	47	619	0	15	13187	5173	0	0	601	12	213	33	0	1658	4	127	78	240	23	0	0	0	0	38	146	63	307	0	0	9193	1137	11	0	13	44	105	0	41	31	19	17	11	24	902	355	0	110	0	70	724	1407	2712	493	4411	182	6	170	0	241	83	1727	61478	2436	2522	0	690	99	1719	468	0	561	8	114	284	70	2591	456	241	183	1626	960	69	0	104	90	84	9	42	4186	45	4	17	3	0	914	26
C8	15	19	123	0	10463	9392	3764	0	92	147	0	20	2	0	1676	0	107	20	59	6	0	0	2	6	45	81	62	100	14	0	3040	1370	5	0	0	276	31	4	0	26	22	4	0	0	366	2178	0	42	0	0	197	291	2062	58	968	293	0	17	0	121	10	928	64012	3412	1779	0	213	727	3019	167	0	4912	0	441	170	86	493	83	66	33	782	274	5	0	21	93	24	20	32	7360	203	0	247	0	0	111	22
C20	33	14	13	0	7201	8792	5452	0	31	4	0	0	15	6	1585	0	85	0	0	0	0	0	50	2	71	30	5	47	33	0	986	1308	0	0	0	444	21	1	0	35	13	1	0	0	240	3285	0	0	0	0	199	41	1304	0	264	356	0	0	0	80	0	849	65490	4494	1444	0	124	1200	4251	31	0	4480	4	742	117	70	78	66	9	27	458	173	0	0	0	77	18	17	20	8064	402	0	180	0	0	0	0
C32	0	32	87	4	13029	10080	4822	0	0	0	0	12	3	3	1533	0	97	0	51	0	3	0	5	0	30	48	6	57	69	6	804	2778	6	0	0	272	36	7	0	17	22	0	0	8	120	2770	0	0	0	0	185	110	1505	10	456	523	0	4	0	131	5	1239	63927	4546	3178	0	221	447	3676	52	0	2898	0	627	60	196	152	71	97	0	390	203	4	0	0	120	18	30	29	7306	195	0	666	5	0	73	0
