	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Feces	Feces	Feces	Feces	Feces	Feces
	Abundance	Pvalue	Statistic	log2FC	median_diff	pBH	Abundance	Pvalue	Statistic	log2FC	median_diff	pBH
KO												
K00003	0.7177332534753111	0.02328865356806823	2.7432256282976173	-0.09823769765928647	-0.048325888039054465	0.07330512376530501	0.7151335881682914	0.00028850611294617266	5.463576632118811	-0.20960420874839597	-0.1026090136157809	0.0015067861463612608
K00005	0.024683141362639043	0.6202422730036031	-0.5112734684316228	-0.018570976506723902	-0.0003156955208196248	0.7018284888674547	0.028861892558962363	0.19305978315370145	-1.4098560269516829	0.2676934605158596	0.005454061283319864	0.29009374727142345
K00008	0.17775642451460688	6.269566577358711e-06	7.087790340044609	-0.9207973010330515	-0.12164821467033077	0.0001718159792985685	0.16811274680747554	0.00017479947296132685	6.074700385542479	-1.1069704866503525	-0.16256308447126308	0.0010424569605102963
K00009	0.10138277629481712	0.0021647277849122988	-4.447323107837909	0.6508403376556773	0.05265396961757714	0.013067840981297495	0.10284814417440541	0.0010739249714101025	-4.913025124896078	0.6572349526980328	0.05226465563632701	0.004430421656247413
K00010	0.06306159048706103	0.008845252415124951	-3.415745390068932	0.5708244959469853	0.02709609137512624	0.03528880199083699	0.08291619978305681	0.0014382391651365234	-4.186012038861266	0.9802242003151833	0.06084022025397175	0.005649874672601155
K00012	0.5450312107670319	0.0013815645056432539	3.98210068329661	-0.2676341539015131	-0.10017265383794988	0.009354004388208149	0.547028634806259	0.003400714283186241	3.520492962577141	-0.21630094098368713	-0.08369111775747917	0.011611352799401656
K00013	0.7171134095370324	0.2160381369933833	1.3315298780680513	-0.04487377053218805	-0.022168373053471746	0.3252821583569908	0.7112673686418527	0.0007051561186752595	4.320927708498972	-0.11517016151842546	-0.056852341886049707	0.003109711465882083
K00014	0.8294890923902156	0.0011745496280790007	4.2353494866685155	-0.12909092194834632	-0.07477934297579147	0.00820995924242265	0.827167602380194	1.9712569126668722e-05	6.310955765558693	-0.11975160929016176	-0.0688115285887344	0.0002209983805012568
