shRTF8_metabat_34	MAG026
shRTC8_metabat_013	MAG026
shRTC3_metabat_49	MAG026
shRTF3_metabat_007	MAG026
shRTF8_metabat_41	MAG027
shHF8_metabat_70	MAG027
shHF5_metabat_35	MAG027
shHF6_metabat_074	MAG027
shRTF6_metabat_36	MAG027
shHF2_metabat_45	MAG027
shRTF2_metabat_46	MAG027
shHF3_metabat_53	MAG027
shHF1_metabat_51	MAG028
shHF2_metabat_41	MAG028
shHF5_metabat_57	MAG028
shHF8_metabat_62	MAG028
shHF3_metabat_58	MAG028
shHF6_metabat_035	MAG028
shHF4_metabat_038	MAG028
shRTF3_metabat_063	MAG029
shRTF4_metabat_18	MAG030
shRTF6_metabat_07_sub	MAG030
shHF6_maxbin_023_sub	MAG030
shRTC6_metabat_17_sub	MAG030
shHF5_maxbin_003	MAG031
shHF1_metabat_02	MAG031
shRTC5_metabat_19	MAG031
shHC1_maxbin_011	MAG031
shHC8_metabat_16	MAG031
shHC7_maxbin_002	MAG031
shHF2_maxbin_002	MAG031
shHC5_maxbin_007	MAG031
shHF3_maxbin_003	MAG031
shRTF7_metabat_31	MAG031
shHC6_maxbin_010	MAG031
shHF4_maxbin_003	MAG031
shRTF4_maxbin_017	MAG031
shRTF3_metabat_070_sub	MAG031
shHC4_maxbin_003_sub	MAG031
shHF7_maxbin_004	MAG031
shHC3_maxbin_008	MAG031
shRTF5_metabat_001	MAG031
shHC2_metabat_02	MAG031
shHF8_maxbin_002	MAG031
shRTC4_metabat_07	MAG031
shHF6_metabat_007	MAG031
shHF1_metabat_37	MAG032
shHF3_metabat_19	MAG032
shRTC3_maxbin_021	MAG032
shHF6_metabat_016	MAG032
shHC7_maxbin_008	MAG032
shHF8_metabat_31	MAG032
shHC6_metabat_08	MAG032
shRTF3_metabat_017	MAG032
shHC3_metabat_10_sub	MAG032
shHC1_maxbin_014	MAG032
shHF7_metabat_18	MAG033
shHF8_metabat_17	MAG033
shHF6_metabat_012	MAG034
shHC5_metabat_35	MAG034
shHC6_metabat_36	MAG034
shHF5_metabat_05	MAG034
shHF2_metabat_01	MAG034
shHC4_maxbin_007	MAG034
shHF4_maxbin_006	MAG034
shHC1_metabat_05	MAG034
shHF8_maxbin_011	MAG034
shHF1_metabat_48	MAG034
shHC7_metabat_36	MAG034
shHF3_metabat_49	MAG034
shHC4_metabat_012	MAG035
shHF3_maxbin_030	MAG035
shHC6_metabat_04	MAG035
shHC5_metabat_34	MAG035
shHF6_metabat_002	MAG035
shHF5_maxbin_036	MAG035
shHF4_metabat_004	MAG035
shHF5_metabat_52	MAG036
shHF1_metabat_46	MAG036
shHC1_metabat_47	MAG036
shHF4_metabat_063	MAG036
shHF3_metabat_45	MAG036
shHF8_metabat_22	MAG037
shRTC8_metabat_012	MAG037
shHC5_metabat_11	MAG037
shHF1_metabat_18	MAG037
shRTC5_metabat_13	MAG037
shHC3_metabat_15_sub	MAG037
shRTC3_metabat_20_sub	MAG037
shRTF1_maxbin_006_sub	MAG037
shRTF3_metabat_030	MAG037
shRTF8_metabat_24	MAG037
shHF4_metabat_023	MAG037
shHF5_metabat_21	MAG037
shHF7_metabat_16	MAG037
shHC2_metabat_13	MAG037
shRTF2_metabat_18	MAG037
shRTC2_maxbin_009	MAG037
shHC1_metabat_26	MAG037
shHF3_metabat_29	MAG037
shRTF5_metabat_021	MAG037
shHC4_metabat_026	MAG037
shRTC7_metabat_12	MAG037
shRTF6_metabat_17	MAG037
shHF6_metabat_029	MAG037
shRTF7_maxbin_004_sub	MAG037
shHC6_metabat_39	MAG037
shRTC6_maxbin_004_sub	MAG037
shRTF4_maxbin_006_sub	MAG037
shHC7_metabat_21	MAG037
shRTC4_metabat_16	MAG037
shHF2_metabat_18	MAG037
shHC8_metabat_13	MAG037
shHF1_maxbin_033	MAG038
shHC1_metabat_49_sub	MAG038
shHF7_metabat_29	MAG039
shRTF8_metabat_30	MAG039
shRTF6_metabat_30_sub	MAG039
shHF5_metabat_45	MAG039
shRTF7_metabat_19	MAG039
shHF1_metabat_31	MAG039
shHF8_metabat_40	MAG039
shHF3_metabat_37	MAG039
shHF6_metabat_060	MAG039
shHF4_metabat_008_sub	MAG040
shRTF4_metabat_06_sub	MAG040
shHC4_metabat_008	MAG040
shHF2_metabat_05	MAG040
shHC7_metabat_28	MAG040
shHC2_metabat_33	MAG040
shHF3_metabat_11	MAG040
shHF5_metabat_01_sub	MAG040
shHF8_metabat_06	MAG040
shHF6_metabat_041	MAG040
shHF2_maxbin_014	MAG041
shHC4_maxbin_005	MAG041
shHF5_maxbin_023	MAG041
shRTF6_maxbin_019	MAG041
shHC1_maxbin_003	MAG041
shHF4_maxbin_016	MAG041
shRTC2_maxbin_006	MAG041
shHF1_maxbin_012	MAG041
shRTF3_maxbin_010	MAG041
shHC2_maxbin_002	MAG041
shRTF7_maxbin_016	MAG041
shRTC5_maxbin_008	MAG041
shRTF2_maxbin_007	MAG041
shRTC1_maxbin_007	MAG041
shHF7_maxbin_008	MAG041
shHC3_maxbin_007	MAG041
shHC8_maxbin_003	MAG041
shRTF4_maxbin_008	MAG041
shHC6_maxbin_008	MAG041
shHF8_maxbin_041	MAG041
shRTF8_maxbin_007	MAG041
shHC5_maxbin_005	MAG041
shRTC7_maxbin_007	MAG041
shHF3_maxbin_018	MAG041
shRTC4_maxbin_006	MAG041
shRTC8_maxbin_007	MAG041
shHF6_maxbin_008	MAG041
shHC7_maxbin_005	MAG041
shRTC3_maxbin_009	MAG041
shRTC6_metabat_01	MAG041
shRTF1_maxbin_005	MAG041
shRTF5_maxbin_009	MAG041
shRTC3_metabat_57	MAG042
shRTC8_metabat_053	MAG042
shRTF7_metabat_33	MAG042
shRTF1_metabat_49	MAG042
shRTF5_metabat_059	MAG042
shRTF2_metabat_39	MAG042
shRTF8_metabat_32	MAG042
shRTF3_metabat_042	MAG042
shRTC1_metabat_20	MAG043
shRTF2_metabat_29	MAG043
shHF5_maxbin_007	MAG044
shHC6_maxbin_006	MAG044
shHF6_metabat_014	MAG044
shHF3_maxbin_008	MAG044
shHF4_maxbin_007	MAG044
shHC2_metabat_03	MAG044
shHC4_metabat_003	MAG044
shHC3_maxbin_005	MAG044
shHF8_metabat_09	MAG044
shRTF6_metabat_06	MAG044
shHC7_metabat_01	MAG044
shHF7_metabat_07	MAG044
shRTF8_metabat_39	MAG045
shRTC3_metabat_37	MAG045
shRTC8_metabat_021	MAG045
shHC8_metabat_21	MAG045
shRTC5_metabat_26	MAG046
shRTF5_maxbin_022_sub	MAG046
shHF8_metabat_51	MAG046
shHF2_maxbin_041	MAG047
shHF6_metabat_045_sub	MAG047
shHC6_metabat_13	MAG047
shRTF3_metabat_057	MAG048
shHF4_metabat_075	MAG048
shRTC3_metabat_61	MAG048
shHC4_metabat_067_sub	MAG048
shRTC8_metabat_066	MAG048
shHF1_metabat_08	MAG049
shHF2_metabat_39	MAG049
shHF3_metabat_34	MAG049
shHF6_maxbin_032	MAG049
shHC1_metabat_50	MAG049
shHF5_metabat_15	MAG049
shHF4_metabat_011	MAG049
shHF6_metabat_065_sub	MAG050
shRTF4_metabat_43	MAG050
shRTC4_metabat_27	MAG050
shRTF6_metabat_26_sub	MAG050
shHC4_metabat_064	MAG050
shRTC1_metabat_19_sub	MAG050
shRTF8_metabat_40	MAG050
shRTF2_maxbin_012	MAG050
shRTF5_metabat_060	MAG050
shHF4_metabat_045	MAG050
shRTC8_metabat_034	MAG050
shRTF1_metabat_37	MAG050
shRTF7_metabat_36	MAG050
shRTC2_metabat_33_sub	MAG050
shHF8_metabat_54	MAG051
shRTC1_maxbin_001	MAG052
shRTC8_maxbin_001	MAG052
shRTF4_maxbin_001	MAG052
shHC6_maxbin_007_sub	MAG052
shRTC6_maxbin_001_sub	MAG052
shHF1_metabat_21	MAG052
shRTC4_maxbin_001	MAG052
shRTF5_maxbin_001_sub	MAG052
shRTC7_maxbin_001	MAG052
shRTC3_maxbin_001	MAG052
shRTC5_maxbin_001_sub	MAG052
shHF5_maxbin_008_sub	MAG052
shHC3_maxbin_009_sub	MAG052
shRTF2_maxbin_001_sub	MAG052
shHF8_maxbin_013_sub	MAG052
shHF8_metabat_61	MAG053
shHF4_metabat_060	MAG053
shRTF5_metabat_039_sub	MAG053
shRTC3_metabat_33_sub	MAG053
shRTF3_metabat_036	MAG053
shRTC5_metabat_35_sub	MAG053
shHF4_metabat_044	MAG054
shHC4_metabat_021_sub	MAG054
shRTF4_metabat_13	MAG054
shHF6_metabat_068	MAG055
shHC3_maxbin_002	MAG056
shHC1_maxbin_008_sub	MAG056
shHF1_metabat_33_sub	MAG056
shRTF3_metabat_040	MAG056
shHF5_maxbin_020_sub	MAG056
shRTF4_maxbin_024_sub	MAG056
shHF2_metabat_38	MAG057
shHC2_metabat_18	MAG057
shRTF4_metabat_44	MAG057
