	28-4	A2	ASF356	Acetatifactor	Acetitomaculum	Acinetobacter	Actinobacillus	Aerococcus	Agathobacter	Akkermansia	Alistipes	Alloprevotella	Anaerofustis	Anaeroplasma	Anaerosporobacter	Anaerostipes	Anaerotruncus	Anaerovorax	Angelakisella	Atopostipes	Azospira	Bacillaceae	Bacilli	Bacteria	Bacteroidales	Bacteroides	Bacteroidetes	Bacteroidia	Barnesiella	Bifidobacterium	Bilophila	Blautia	Burkholderiaceae	Butyricicoccus	Butyrivibrio	CAG-873	Caldicoprobacter	Candidatus_Arthromitus	Candidatus_Saccharimonas	Candidatus_Soleaferrea	Candidatus_Stoquefichus	Chloroplast	Christensenellaceae	Christensenellaceae_R-7_group	Clostridia	Clostridiaceae_1	Clostridiaceae_2	Clostridiales	Clostridiales_vadinBB60_group	Clostridium_sensu_stricto_1	Cuneatibacter	Cyanobacteria	DNF00809	Deltaproteobacteria	Desulfovibrionaceae	Dubosiella	Eggerthellaceae	Eisenbergiella	Enhydrobacter	Enterorhabdus	Erysipelatoclostridium	Erysipelotrichaceae	Faecalibacterium	Faecalibaculum	Family_XIII	Family_XIII_AD3011_group	Family_XIII_UCG-001	Firmicutes	Flavonifractor	GCA-900066225	GCA-900066575	GCA-900066755	Gammaproteobacteria	Gastranaerophilales	Haemophilus	Harryflintia	Herbinix	Holdemanella	Hydrogenoanaerobacterium	Intestinimonas	Lachnoclostridium	Lachnospiraceae	Lachnospiraceae_FCS020_group	Lachnospiraceae_NK3A20_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_NK4B4_group	Lachnospiraceae_UCG-001	Lachnospiraceae_UCG-004	Lachnospiraceae_UCG-006	Lachnospiraceae_UCG-010	Lactobacillales	Lactobacillus	Lactonifactor	Lawsonella	Marvinbryantia	Mitochondria	Mollicutes	Mollicutes_RF39	Muribaculaceae	Muribaculum	Odoribacter	Olsenella	Oscillibacter	Oscillospira	Parabacteroides	Paracoccus	Parasutterella	Parvibacter	Pasteurellaceae	Peptococcaceae	Phocea	Porphyromonadaceae	Prevotella_9	Prevotellaceae	Prevotellaceae_UCG-001	Proteobacteria	Pseudoflavonifractor	Pseudogracilibacillus	Reyranella	Rhodospirillales	Rikenellaceae	Rikenellaceae_RC9_gut_group	Romboutsia	Roseburia	Ruminiclostridium	Ruminiclostridium_5	Ruminiclostridium_6	Ruminiclostridium_9	Ruminococcaceae	Ruminococcaceae_NK4A214_group	Ruminococcaceae_UCG-002	Ruminococcaceae_UCG-003	Ruminococcaceae_UCG-005	Ruminococcaceae_UCG-009	Ruminococcaceae_UCG-010	Ruminococcaceae_UCG-013	Ruminococcaceae_UCG-014	Ruminococcus_1	Shuttleworthia	Sporobacter	Sporosarcina	Staphylococcus	Subdoligranulum	Turicibacter	Tyzzerella	Tyzzerella_3	UBA1819	UC5-1-2E3	Veillonella	Verrucomicrobiales	XBB1006
C30	0	7	17	177	0	0	0	0	0	8620	12134	2666	0	0	31	0	162	0	66	0	0	0	0	0	1	2636	0	0	0	275	24	0	0	17	0	0	0	0	0	0	3	0	28	150	0	0	0	310	265	174	0	0	1	0	4497	283	0	0	0	14	35	0	0	0	16	8	7	0	0	0	262	0	0	14	0	30	0	0	65	61	979	1393	36	0	2290	0	8	23	52	0	0	493	0	0	10	0	0	880	58873	3390	2708	0	84	0	74	0	2921	0	0	105	0	3	0	0	478	0	0	0	0	36	0	73	72	513	32	59	205	568	232	22	0	49	0	0	50	132	2400	0	0	0	0	0	0	161	0	0	231	4	0	0	0
C42	0	0	10	357	0	0	0	0	0	23903	7099	1259	0	0	0	0	16	0	0	0	0	0	0	13	2	1593	0	0	0	106	14	0	0	0	8	7	0	0	0	0	6	0	49	82	0	0	0	7	104	76	0	0	0	0	3113	207	0	1	0	0	195	0	0	0	21	0	10	0	0	7	498	0	0	329	0	74	0	0	0	116	536	2781	52	0	1345	0	32	16	64	0	0	255	0	0	0	0	0	362	43895	2231	1025	0	212	0	1495	0	2682	0	0	172	0	0	0	0	949	0	0	0	0	45	0	27	28	684	42	63	302	651	245	0	0	0	10	0	16	13	5931	34	0	0	0	0	2	60	6	0	267	0	0	0	0
C54	0	0	0	20	0	0	0	0	0	32940	7129	2361	0	0	0	4	58	0	0	0	0	0	0	6	0	2635	0	2	0	316	9	0	0	0	0	2	0	0	0	0	0	0	48	57	0	0	0	5	64	126	0	0	0	0	548	1094	0	0	0	0	403	41	0	13	72	29	0	0	0	0	99	0	0	1271	0	0	0	0	0	23	208	1872	5	0	1253	0	31	4	0	0	0	277	0	0	0	0	0	2064	40750	2803	1458	0	81	0	985	0	4139	0	0	17	0	0	0	0	2819	0	0	0	0	538	0	69	126	140	92	20	28	407	272	6	0	15	34	0	67	8	8114	77	0	0	0	0	6	397	0	0	32	0	0	0	0
C66	0	6	38	28	0	0	0	0	0	8484	10322	6083	0	0	0	135	13	0	4	0	6	0	0	0	7	2064	0	0	0	164	12	0	0	15	0	0	0	0	3	0	1	0	17	116	0	0	0	17	56	798	0	0	6	0	2023	1313	8	0	0	13	72	114	0	0	51	33	0	0	0	16	223	0	0	113	10	36	0	0	0	76	241	560	0	0	1444	0	218	0	10	0	0	558	0	0	6	0	0	623	83770	3380	1792	0	149	0	492	0	3624	0	0	27	0	0	0	0	1352	0	0	0	0	87	0	130	108	268	9	24	211	526	340	0	0	0	25	15	15	9	2792	78	0	0	0	5	0	486	0	0	18	0	0	0	0
C78	0	0	17	0	0	0	0	0	0	11243	5994	5551	0	0	0	2	48	0	18	0	0	0	0	0	6	1516	0	0	0	127	0	0	0	20	0	0	0	0	0	0	0	0	31	40	0	0	0	23	144	226	0	0	0	0	759	475	0	0	0	0	544	13	0	0	24	39	2	0	0	0	93	0	0	94	0	0	0	0	0	55	178	711	0	0	458	0	252	0	8	0	0	255	0	0	0	0	0	654	79378	3322	930	0	55	0	1265	0	2737	0	0	58	0	0	0	0	3452	0	0	0	0	170	0	0	54	20	40	19	2	323	122	0	0	0	0	0	22	8	7896	0	0	0	0	0	0	193	0	0	11	0	0	0	0
C90	0	13	20	117	0	0	0	0	0	958	6950	3355	0	0	0	52	92	0	26	0	0	0	0	10	15	3400	0	0	0	133	10	0	0	86	36	0	0	30	0	0	0	0	26	58	0	0	0	1975	346	35	0	0	0	0	643	106	0	0	3	12	132	61	0	772	55	71	7	3	0	4	44	0	0	55	0	13	0	0	17	128	285	1284	61	0	2887	0	255	0	32	0	0	525	0	0	0	0	0	2000	62502	3603	3719	7	129	0	139	0	4136	0	0	58	0	0	3	0	3236	0	0	0	0	86	0	265	145	387	155	39	67	657	549	23	0	18	9	0	36	32	5856	137	0	0	0	0	0	160	0	0	61	0	0	0	0
C7	0	0	30	34	0	0	0	0	0	6093	6351	10038	8	0	0	0	224	0	4	0	0	0	0	4	18	3880	0	2	0	113	0	2	0	50	0	0	0	8	4	0	0	0	42	46	0	0	0	24	434	0	0	0	17	0	1693	115	0	0	0	14	163	0	0	863	42	29	0	0	0	6	306	0	0	891	10	54	0	0	71	248	214	745	0	0	4953	0	147	8	22	3	0	556	0	0	0	0	0	316	69453	4333	3003	11	374	0	586	0	5059	0	0	58	0	0	1	0	3290	0	7	0	3	630	0	254	60	249	205	89	178	1177	964	44	0	29	30	29	140	145	2287	51	0	0	0	0	0	42	0	0	145	0	0	0	0
C19	0	6	5	42	0	0	0	0	0	10419	9374	671	0	0	0	0	429	0	3	0	0	0	0	2	9	2239	0	0	0	193	17	4	0	0	34	0	0	0	0	0	8	0	44	148	0	0	0	67	109	16	0	0	0	0	6502	1300	6	0	0	2	260	0	0	0	16	23	0	0	0	10	448	0	0	836	0	125	0	0	23	208	247	2906	0	3	792	0	253	0	24	0	0	145	0	0	0	0	0	810	51876	3191	2067	0	157	0	584	0	2627	0	0	201	0	0	2	0	2446	0	0	0	4	103	0	19	64	96	58	43	43	879	235	0	2	27	16	41	31	68	7017	53	0	0	0	0	0	6	14	0	99	9	0	0	0
C31	0	18	0	24	0	0	0	0	0	16840	4797	1202	0	0	0	88	8	0	0	0	0	0	0	3	0	1312	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	22	73	0	0	0	0	28	8	0	0	0	0	1834	1357	0	0	0	9	309	0	0	0	51	21	0	0	0	0	140	0	0	680	0	16	0	0	0	51	148	629	0	0	265	0	105	0	11	0	0	192	0	0	8	0	0	457	60808	3034	862	0	17	0	1395	0	2832	0	0	73	0	0	2	0	2618	0	0	0	0	212	0	158	37	13	0	0	0	417	680	6	0	0	18	13	5	9	5276	0	0	0	0	0	0	0	8	0	0	20	0	0	0
C43	0	14	0	61	0	0	0	0	10	15603	6476	1213	0	0	0	440	7	0	6	0	0	0	0	0	0	1053	0	0	0	110	8	0	0	6	0	0	0	0	0	0	2	0	33	68	0	0	0	305	108	18	0	0	0	0	2441	1298	4	0	0	0	405	0	0	3	24	11	6	0	9	13	194	0	2	500	0	32	0	0	0	71	356	2687	0	0	1063	0	160	0	76	0	0	184	0	0	4	0	0	928	69787	2259	957	0	245	0	833	0	1845	2	0	146	0	0	0	0	3113	0	0	0	0	213	0	37	26	532	82	92	3	899	201	8	0	0	54	32	13	1	6340	61	0	0	0	0	3	0	0	0	11	33	0	0	0
C55	0	4	41	145	0	0	0	0	0	13662	5685	1458	0	0	0	126	243	0	14	0	0	0	0	11	2	1347	0	0	0	198	29	0	0	29	0	0	11	0	0	0	0	0	17	31	0	0	0	28	287	13	0	0	0	0	4146	1199	5	0	0	0	78	78	0	0	33	12	3	0	0	14	319	0	0	919	0	38	0	0	64	162	281	1985	157	0	1907	0	123	19	0	0	0	204	0	0	17	0	0	513	65136	3233	1980	0	213	0	90	0	3032	0	0	154	0	5	0	0	1597	0	0	0	0	82	0	194	42	104	96	70	22	617	239	54	0	54	5	54	32	26	1921	75	0	0	0	0	0	0	7	0	35	8	0	0	0
C67	0	5	24	231	0	0	0	0	0	2065	11441	603	0	0	0	382	87	11	70	0	0	0	0	11	8	1010	0	0	2	61	39	0	0	33	26	0	0	0	3	0	5	0	21	184	0	4	0	20	155	150	0	0	12	0	6833	1341	22	0	0	16	17	59	0	26	27	11	14	0	0	10	482	0	0	238	0	38	0	0	25	284	553	1659	157	0	3654	0	155	0	52	0	0	565	4	0	8	0	0	768	50268	1810	2142	20	225	0	94	0	1989	0	0	187	0	0	4	0	622	0	0	0	0	18	0	35	98	1576	45	339	188	776	356	14	0	0	22	32	16	2	2029	9	0	0	0	0	0	22	0	0	632	6	0	0	0
C79	0	19	89	187	0	0	0	0	0	1926	9615	827	0	0	0	0	448	0	156	0	0	0	0	11	7	2624	0	0	0	0	103	0	0	247	8	7	0	8	0	0	4	0	38	81	0	0	0	44	204	535	0	0	11	0	12367	774	12	0	0	5	28	303	4	0	47	30	3	0	7	41	492	0	0	987	11	84	0	0	92	693	611	3837	188	0	4144	0	514	12	63	7	0	121	0	0	7	0	2	1226	60376	2459	3143	0	1091	0	254	0	2355	0	0	391	0	0	0	0	2488	0	3	0	0	138	0	32	111	2451	503	274	243	1455	722	19	0	43	216	105	23	38	3272	57	0	0	0	0	0	47	16	17	488	34	0	0	0
C91	0	17	47	619	5	0	0	0	0	15	13187	5173	0	0	0	0	601	12	213	0	0	0	0	33	0	1658	0	4	0	127	78	0	0	240	23	0	0	0	0	0	0	0	38	146	0	0	0	63	307	0	0	0	0	0	9193	1137	11	0	0	13	44	105	0	41	31	19	17	0	11	24	902	0	0	355	0	110	0	0	70	724	1407	2712	493	0	4411	0	182	6	170	0	0	241	0	0	83	0	0	1727	61478	2436	2522	0	690	0	99	0	1719	0	0	468	0	0	0	0	561	0	8	0	0	114	0	284	70	2591	456	241	183	1626	960	69	0	104	90	84	9	42	4186	45	4	0	0	0	0	17	3	0	914	26	0	0	0
C8	0	15	19	123	0	0	0	0	0	10463	9392	3764	0	0	0	92	147	0	20	7	0	0	0	2	0	1676	0	0	0	107	20	3	0	59	6	0	0	2	0	0	6	0	45	81	0	0	0	62	100	14	0	0	0	0	3040	1370	5	0	0	0	276	31	4	0	26	22	4	4	0	0	366	0	0	2178	0	42	0	0	0	197	291	2062	58	3	968	0	293	0	17	0	0	121	0	0	10	0	0	928	64012	3412	1779	0	213	3	727	0	3019	0	0	167	0	0	0	0	4912	0	0	0	0	441	0	170	86	493	83	66	33	782	274	5	0	21	93	24	20	32	7360	203	0	0	0	0	0	247	0	0	111	22	0	0	0
C20	0	33	14	13	0	0	0	0	0	7201	8792	5452	0	0	0	31	4	0	0	0	0	0	0	15	6	1585	0	0	0	85	0	0	0	0	0	0	0	50	0	0	2	0	71	30	0	0	0	5	47	33	0	0	0	0	986	1308	0	0	0	0	444	21	1	0	35	13	1	0	0	0	240	0	0	3285	0	0	0	0	0	199	41	1304	0	0	264	0	356	0	0	0	0	80	0	0	0	0	0	849	65490	4494	1444	0	124	0	1200	0	4251	0	0	31	0	0	1	0	4480	0	4	0	0	742	0	117	70	78	66	9	27	458	173	0	0	0	77	18	17	20	8064	402	0	0	0	0	0	180	0	0	0	0	0	0	0
C32	0	0	32	87	0	0	0	0	4	13029	10080	4822	0	0	0	0	0	0	12	0	0	1	0	3	3	1533	0	0	0	97	0	0	0	51	0	3	0	5	0	0	0	0	30	48	0	0	0	6	57	69	0	0	6	0	804	2778	6	0	0	0	272	36	7	0	17	22	0	0	0	8	120	0	0	2770	0	0	0	0	0	185	110	1505	10	0	456	0	523	0	4	0	0	131	0	0	5	0	0	1239	63927	4546	3178	0	221	0	447	0	3676	0	0	52	0	0	0	0	2898	2	0	0	0	627	0	60	196	152	71	97	0	390	203	4	0	0	120	18	30	29	7306	195	0	0	0	0	0	666	5	0	73	0	0	0	0
